数据库：分省年度数据,,,,,,,,,,,,,,,,,,,,
指标：粮食产量(万吨),,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
黑龙江省,7506.8,7410.34,7416.13,7615.78,7403.8,7055.11,6598.6,6212.57,5632.86,4788.87,4627.26,3880.98,3843.5,3092,3001,2512.3,2941.2,2651.7,2545.5,3074.6
河南省,6648.91,6524.25,6498.01,6470.22,6133.6,6023.8,5898.38,5733.92,5581.82,5506.87,5405.8,5252.92,5112.3,4582,4260,3569.47,4209.98,4119.88,4101.5,4253.25
山东省,5319.51,5374.31,5332.28,5153.07,5038.34,4883.44,4815.81,4701.34,4502.76,4442.7,4353.93,4112.85,4092.97,3917.38,3516.7,3435.54,3292.69,3720.6,3837.74,4269
安徽省,4007.25,4019.71,3961.76,4077.23,3830.54,3540.86,3542.92,3313.99,3207.71,3168.89,3140.87,2973.96,2853.71,2605.3,2742.96,2214.8,2765,2500.3,2472.1,2771.2
河北省,3700.86,3829.25,3782.99,3602.19,3568.98,3584.87,3442.62,3344.98,3120.99,3017.43,2994.99,2897.31,2780.6,2598.58,2480.07,2387.8,2435.76,2491.8,2551.07,2746.29
江苏省,3660.28,3610.8,3542.44,3594.71,3523.04,3440.82,3431.55,3357.1,3284.99,3260.87,3192.23,3122.27,3096.03,2834.59,2829.06,2471.85,2907.05,2942.05,3106.63,3559
吉林省,3632.74,4154,4150.7,3974.1,3800.06,3763.3,3450.21,3231.79,2790.72,2479.35,2896.41,2437.99,2725.8,2581.21,2510,2259.6,2214.8,1953.4,1638,2305.6
内蒙古自治区,3553.28,3254.54,3263.28,3292.58,3112.36,3070.48,2739.83,2573.41,2344.28,2128.91,2100.94,1764.4,1806.84,1662.15,1505.3,1360.73,1406.08,1239.1,1241.9,1428.5
四川省,3493.7,3488.9,3469.93,3394.6,3324.64,3336.06,3271.28,3249.51,3182.84,3120.4,3110.99,3032.75,2859.7,3211.1,3146.7,3054.1,3132.4,2926.5,3372,3551.4
湖南省,3022.9,3073.6,3052.3,3094.21,3078.94,2989.54,3061.87,2983.62,2881.55,2928.83,2822.19,2698.46,2654.2,2678.6,2640,2442.73,2501.3,2700.3,2767.9,2725.4
湖北省,2839.47,2846.13,2796.35,2914.75,2658.26,2586.21,2485.14,2407.45,2304.26,2291.05,2145.47,2139.07,2099.1,2177.38,2100.12,1921.02,2047,2138.49,2218.49,2451.88
辽宁省,2192.45,2330.74,2315.6,2186.61,1873.17,2353.31,2175.04,2103.86,1803.97,1612.97,1879.37,1843.95,1797,1745.8,1720,1498.3,1510.4,1394.4,1140,1648.76
江西省,2190.7,2221.73,2234.4,2235.61,2220.39,2182.37,2140.64,2098.52,1989.45,2029.24,1975.43,1912.41,1896.52,1757,1663,1450.3,1549.5,1600,1614.6,1732.7
云南省,1860.54,1843.42,1815.07,1791.27,1794.94,1757.39,1687.32,1623.25,1501.61,1528.19,1503.94,1453.65,1457.6,1514.93,1509.5,1471.01,1424.74,1486.3,1467.8,1399.25
新疆维吾尔自治区,1504.23,1484.73,1552.33,1895.32,1749.85,1726.95,1517.36,1426.73,1362.36,1292.27,1015.24,852.21,896.36,876.6,796.5,775.48,835.6,779.98,783.7,799.3
山西省,1380.4,1355.1,1380.33,1314.02,1387.25,1362.01,1309.4,1225.4,1107.54,954.9,1034.4,1009.33,1024.5,978,1062,958.87,925.54,692.1,853.35,821.7
广西壮族自治区,1372.8,1370.49,1419.03,1433.15,1452.63,1450.71,1426.33,1382.26,1372.08,1432.79,1375.33,1386.78,1427.58,1487.3,1398.5,1465.1,1486.8,1511.4,1528.5,1575
陕西省,1226,1194.2,1263.96,1204.67,1183.53,1210.55,1255.92,1207.39,1185.98,1149.06,1120.25,1071.98,1041.9,1043,1040,968.4,1005.6,976.61,1089.1,1081.6
广东省,1193.49,1208.56,1204.22,1211.66,1229.97,1202.48,1295.69,1275.73,1249.15,1261.99,1210.02,1267.03,1242.42,1394.97,1390,1430.4,1478.91,1600.1,1760.1,1967.1
甘肃省,1151.43,1105.9,1117.48,1154.58,1145.37,1117.47,1096,1009.06,948.79,893.15,870.44,801.59,808.05,836.89,805.8,789.34,782.68,753.22,713.48,814.93
重庆市,1079.34,1079.88,1078.2,1051.05,1043.9,1055.15,1060.52,1064.16,1080.63,1083.78,1112.16,1064.06,808.4,1168.21,1144.5,1087.1,1082.4,1023.5,1106.9,1111.6
贵州省,1059.7,1242.45,1264.25,1210.57,1175.9,1075.75,1161.7,922.9,1079.35,1118.38,1102.64,1052.84,1038,1152.06,1149.58,1104.3,1034.2,1100.3,1161.3,1125.2
浙江省,599.14,580.14,564.84,583.97,603.61,601.17,648.22,676.41,686.24,723.09,731.54,723.48,769.51,814.7,834.9,793.38,942.27,1072.68,1217.7,1393
福建省,498.58,487.15,477.28,500.05,520.43,534.68,547.33,576.13,584.65,607.61,612.97,615.66,632.9,715.18,736.45,713.16,763.2,817.3,854.7,942.2
宁夏回族自治区,392.58,370.05,370.65,372.6,376.59,373.29,374.97,358.84,356.39,340.61,329.22,323.49,322.4,299.81,290.49,270.17,301.9,274.8,252.7,293.3
天津市,209.69,212.27,200.4,184.48,178.19,177.44,163.56,163.16,160.56,157.13,149.46,147.41,141.9,137.5,122.77,119.29,137.82,143.33,124.05,174.9
海南省,147.12,138.11,146.1,154.5,161.71,168.55,178.06,170.75,166.55,176.26,175.88,174.62,161.9,153,190.11,204.6,188.59,195.76,199.63,217
西藏自治区,104.4,106.53,103.87,100.63,97.97,96.13,94.89,93.73,91.2,82.22,95.03,93.86,92.37,93.4,96,96.6,98.28,98.25,96.22,92.21
上海市,103.74,99.78,111.78,125.41,127.16,128.65,135.98,136.16,132.12,135.39,122.27,115.33,111.3,105.36,106.29,98.75,130.46,151.42,174,208.1
青海省,103.06,102.55,104.78,104.04,105.8,103.55,101.71,103.44,102.21,102.88,102.15,89.18,99.7,93.26,88.47,86.8,91.3,103.2,82.7,103.61
北京市,34.14,41.12,52.76,62.64,63.94,96.13,113.77,121.77,115.69,124.77,125.45,102.07,109.17,94.93,70.18,58.03,82.3,104.9,144.16,201
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
